country,gdp,life
India,2042440000000.0,68.01
Bangladesh,172885000000.0,71.63
Pakistan,243383000000.0,66.18
Mexico,1297850000000.0,76.72
Vietnam,186205000000.0,75.63
Peru,202855000000.0,74.53
Colombia,378416000000.0,73.99
Philippines,284777000000.0,68.27
Nepal,19769642123.0,69.6
Brazil,2417050000000.0,74.4
Cambodia,16777820333.0,68.21
Ecuador,100917000000.0,75.87
Bolivia,32996187988.0,68.34
Ethiopia,55612228234.0,64.04
Paraguay,30881166852.0,72.92
Nigeria,568499000000.0,52.75
Indonesia,890487000000.0,68.89
Sri Lanka,80028186275.0,74.79
Afghanistan,20050189882.0,60.37
Myanmar,64330041773.0,65.86
Dominican Republic,63968906782.0,73.5
China,10351100000000.0,75.78
Bhutan,1958819915.0,69.47
Guatemala,58722323918.0,71.72
Nicaragua,11790221756.0,74.81
Chile,258733000000.0,81.5
Kenya,61395415492.0,61.58
Honduras,19380958759.0,73.14
Benin,9575356735.0,59.51
Azerbaijan,75198010965.0,70.76
Ghana,38616536132.0,61.31
El Salvador,25054200000.0,72.75
Uganda,26998477707.0,58.47
Tanzania,48030400964.0,64.94
Haiti,8776370457.0,62.75
Togo,4482535926.0,59.66
Senegal,15657551477.0,66.37
Congo Dem. Rep.,32782281736.0,58.66
Madagascar,11011062173.0,65.09
Mongolia,12226514715.0,69.46
Niger,8245312137.0,61.46
Morocco,110009000000.0,74.02
Cameroon,32050817633.0,55.49
Burkina Faso,12549126616.0,58.59
Kyrgyz Republic,7468096567.0,70.4
Egypt Arab Rep.,301499000000.0,71.12
Armenia,11644438423.0,74.68
Rwanda,7912161660.0,63.97
Albania,13277963807.0,77.83
Algeria,213518000000.0,74.81
Angola,126775000000.0,52.27
Antigua and Barbuda,1220976000.0,75.94
Arab World,2873600000000.0,70.57
Argentina,529726000000.0,76.16
Australia,1454680000000.0,82.25
Austria,436888000000.0,81.34
Bahamas The,8510500000.0,75.23
Bahrain,33851063830.0,76.68
Barbados,4354500000.0,75.5
Belarus,76103961203.0,72.98
Belgium,531235000000.0,80.59
Belize,1717861750.0,70.08
Bosnia and Herzegovina,18521476055.0,76.43
Botswana,15880195735.0,64.43
Brunei Darussalam,17104656669.0,78.81
Bulgaria,56717054674.0,75.41
Burundi,3093647227.0,56.69
Cabo Verde,1871187071.0,73.15
Canada,1783780000000.0,81.96
Central African Republic,1691091492.0,50.66
Chad,13922223234.0,51.56
Comoros,623751045.0,63.26
Congo Rep.,14177437627.0,62.31
Costa Rica,49552639049.0,79.4
Cote d'Ivoire,34253607832.0,51.56
Croatia,57136241867.0,77.33
Cyprus,23227106276.0,80.13
Czech Republic,205270000000.0,78.28
Denmark,346119000000.0,80.55
Djibouti,1589025860.0,62.02
Equatorial Guinea,15529729677.0,57.65
Estonia,26485161116.0,77.24
Fiji,4531870927.0,70.09
Finland,272336000000.0,81.13
France,2829190000000.0,82.37
Gabon,18179717776.0,64.38
Gambia The,850903179.0,60.23
Georgia,16509305828.0,74.67
